	byrow	bycolumn
BabyBERTa_nsubj	0.3454790023254753	0.3570435498045595
BabyBERTa_nsubj_baseline	-0.026640372076056726	-0.03443351206489502
BabyBERTa_dobj	0.1994090416625628	0.20121971805471586
BabyBERTa_dobj_baseline	-0.04497192947897173	-0.04283471976351089
Pythia70m_nsubj	0.40719985408782094	0.3987736007744081
Pythia70m_nsubj_baseline	-0.015687839131822534	-0.027396772806265877
Pythia70m_dobj	0.21492591915127127	0.21103843645134115
Pythia70m_dobj_baseline	0.0026255434706138935	-0.0002914963402126182
GPT2-XL_nsubj	0.4234804614472664	0.4076927006612456
GPT2-XL_nsubj_baseline	0.003041356983265699	-0.006037168391250146
GPT2-XL_dobj	0.2559327995947714	0.26106065176527615
GPT2-XL_dobj_baseline	0.006576522069479814	-0.00101653333106646
